Actual,Predicted,Absolute Error
30.65919607551061,24.82773242865385,5.831463646856761
19.244612287104,24.80177485896879,5.55716257186479
30.365757019380663,24.842734424675843,5.52302259470482
19.3780660226752,24.89597643118573,5.517910408510531
30.468278179400347,24.962607980669407,5.5056701987309395
19.39150270659548,24.88837464172051,5.496871935125029
19.63222877018466,25.12817847709663,5.4959497069119685
19.453496138708328,24.849020463236986,5.395524324528658
30.41232448215621,25.018443376523635,5.393881105632577
30.48122965314059,25.092894074846033,5.388335578294559
